0x301C,0xFF5E, // 全角チルダ
0x2212,0xFF0D, // 全角マイナス
0x00A2,0xFFE0, // セント
0x00A3,0xFFE1, // ポンド
0x00AC,0xFFE2, // ノット
0x2011,-, // ハイフン
0x2013,-, // – ENダッシュ
0x2014,-, // — EMダッシュ
0x2016,0x2225, // 二重線
0x200b, , // ゼロ幅スペース
0x2007, , // ゼロ幅スペース
0x2423, , // ゼロ幅スペース
0x00A6,|, // 縦線 ¦
0x30A0,＝, // 二重ハイフン ゠
0x00AB,〈, // ブラケット左 «
0x00BB,〉, // ブラケット右 »
俠,侠
俱,倶
剝,剥
吞,呑
啞,唖
噓,嘘
嚙,噛
囊,嚢
塡,填
姸,妍
屛,屏
屢,屡
幷,并
搔,掻
摑,掴
攢,攅
杮,柿
沪,濾
潑,溌
瀆,涜
焰,焔
瞱,曄
簞,箪
繡,繍
繫,繋
萊,莱
蔣,蒋
蟬,蝉
蠟,蝋
軀,躯
醬,醤
醱,醗
頰,頬
顚,顛
驒,騨
鷗,鴎
鹼,鹸
麴,麹
䇳,箋
倂,併
卽,即
巢,巣
徵,徴
戾,戻
揭,掲
擊,撃
晚,晩
曆,暦
槪,概
步,歩
歷,歴
每,毎
涉,渉
淚,涙
渴,渇
溫,温
狀,状
瘦,痩
硏,研
禱,祷
緣,縁
虛,虚
錄,録
鍊,錬
鬭,闘
麵,麺
黃,黄
欄,欄
廊,廊
虜,虜
殺,殺
類,類
侮,侮
僧,僧
免,免
勉,勉
勤,勤
卑,卑
喝,喝
嘆,嘆
器,器
塀,塀
墨,墨
層,層
悔,悔
慨,慨
憎,憎
懲,懲
敏,敏
既,既
暑,暑
梅,梅
